Region code,Region name ,La_code,La_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
E12000001,North East,E06000001,Hartlepool,2.25,2.65,2.4,2.62,2.23,2.38,2.32,2.41,2.81,3.88,5.02,5.02,4.68,4.68,4.27,3.79,4.15,3.98,4.02,3.43,3.88,4.19,4.37,4.19,4.03,3.8
E12000001,North East,E06000002,Middlesbrough,2.5,2.37,2.45,2.26,1.86,1.94,1.85,2.79,3.71,4.48,5.1,4.71,4.55,4.31,4.05,3.93,3.91,4.23,4.47,4.39,4.18,4.35,4.09,4.22,4.06,3.7
E12000001,North East,E06000003,Redcar and Cleveland,2.54,2.8,2.36,2.38,2.6,2.56,2.98,3.63,4.05,5.37,5.86,4.89,4.43,5.09,4.54,4.86,4.75,5.29,5.46,5.51,5.09,5.1,4.76,4.9,5.29,5.17
E12000001,North East,E06000004,Stockton-on-Tees,3.07,3.26,3.18,2.98,2.8,3.22,3.46,4.31,4.78,5.93,6.23,6.32,5.59,5.56,4.94,5.23,5.09,5.35,5.44,5.16,5.47,5.48,5.03,4.91,5.27,4.72
E12000001,North East,E06000005,Darlington,3.14,3.17,2.77,2.97,2.97,2.86,3.46,4.77,5.43,5.85,5.53,5.53,5.1,5.39,4.6,4.5,5.39,4.62,4.61,4.32,5.06,4.69,4.71,5.25,5.34,4.51
E12000001,North East,E06000047,County Durham,:,:,:,:,:,:,2.71,3.64,4.61,5.33,5.34,5.28,4.58,4.6,4.4,4.02,3.71,3.86,3.7,3.83,3.75,3.69,3.78,3.62,4,3.66
E12000001,North East,E06000057,Northumberland,:,:,:,:,:,:,3.77,5.05,5.52,6.09,6.33,6.27,5.55,5.85,5.44,5.24,5.45,5.62,5.81,5.83,5.68,5.55,5.68,5.75,5.95,5.01
E12000001,North East,E08000021,Newcastle upon Tyne,3.09,3.08,3.14,2.82,2.93,3.31,4.26,5.3,5.43,6.33,6.95,6.24,5.18,5.58,5.61,5.32,5.54,5.48,5.53,5.78,5.51,5.79,5.75,5.35,5.81,5.36
E12000001,North East,E08000022,North Tyneside,3.21,3.28,3.12,3.05,2.87,3,3.88,5.25,6.1,6.66,6.76,6.08,5.63,5.38,5.15,5.12,5.11,5.6,5.67,5.72,5.81,5.79,5.33,5.44,5.84,5.67
E12000001,North East,E08000023,South Tyneside,2.79,2.58,2.55,2.57,2.47,2.7,3.15,4.82,5.3,5.62,5.83,5.53,5.17,5.27,4.47,4.66,4.67,4.76,4.88,4.83,4.93,4.98,5.13,4.86,5.64,4.84
E12000001,North East,E08000024,Sunderland,2.78,2.7,2.66,2.54,2.56,2.68,3.31,4.24,4.88,5.2,5.29,5.13,4.6,4.61,4.28,4,4.14,4.16,4.37,4.28,4.16,4.21,4.19,3.94,4.62,4.31
E12000001,North East,E08000037,Gateshead,:,:,2.56,2.5,2.65,3,3.52,4.9,5,5.51,5.66,5.49,5.34,5.05,4.64,4.39,4.8,4.75,4.91,5,4.94,5.17,5.09,4.87,5.15,4.64
E12000002,North West,E06000006,Halton,2.9,2.5,2.55,2.59,2.41,2.63,3.33,4.08,4.75,5.09,5.06,5.14,4.54,4.44,4.38,4.27,4.25,4.31,4.76,4.62,4.52,4.25,4.58,4.44,5.21,4.63
E12000002,North West,E06000007,Warrington,3.25,3.35,3.45,3.31,3.29,3.98,4.73,6.58,6.22,7.94,6.66,6.23,5.6,5.92,5.89,5.9,5.88,5.71,5.93,6.13,6.15,5.88,6.33,6.25,6.97,6.48
E12000002,North West,E06000008,Blackburn with Darwen,2.04,2.09,2.17,2.16,1.79,2.18,2.27,2.79,3.68,4.39,4.91,4.41,3.95,4.23,4.3,4.11,4.04,4.19,4.24,4.02,4.2,4.31,4.1,4.36,4.26,4.38
E12000002,North West,E06000009,Blackpool,3.22,3.36,3.24,3.29,3.26,3.32,3.85,5.47,5.72,6.6,6.8,6.48,5.39,5.67,4.93,4.75,4.56,5,5.17,4.98,4.81,4.87,4.43,4.69,4.64,4.7
E12000002,North West,E06000049,Cheshire East,:,:,:,:,:,:,5.45,6.39,6.91,7.42,7.44,7.06,6.78,7.31,6.79,6.85,6.67,6.86,6.84,7.13,7.18,7.38,7.34,7.33,8.3,7.35
E12000002,North West,E06000050,Cheshire West and Chester,:,:,:,:,:,:,5.16,6.23,6.65,7.39,7.67,7.42,6.79,6.87,6.81,6.61,6.59,6.9,7.27,7.13,7.08,6.93,7.25,7.09,7.39,6.78
E12000002,North West,E07000026,Allerdale,2.93,3.12,3.23,3.25,2.89,3.18,3.38,4.41,5.66,5.93,6.22,6.38,5.55,5.7,5.69,5.5,5.43,5.55,5.88,4.95,5.53,6.17,5.95,5.2,5.61,4.84
