Date,Area_Code,Area_Name,Count,Mean,Lower_quartile,Median,Upper_quartile,
2011_April,E09000001,City of London,29,2092,1733,2024,2210,
2011_April,E09000002,Barking and Dagenham,302,847,795,850,895,
2011_April,E09000003,Barnet,1183,1237,1018,1170,1343,
2011_April,E09000004,Bexley,324,794,750,800,850,
2011_April,E09000005,Brent,527,1369,1050,1300,1560,
2011_April,E09000006,Bromley,799,966,850,916,1050,
2011_April,E09000007,Camden,1089,1895,1582,1800,2123,
2011_April,E09000008,Croydon,591,904,850,900,938,
2011_April,E09000009,Ealing,585,1217,1000,1150,1350,
2011_April,E09000010,Enfield,541,1038,950,1000,1127,
2011_April,E09000011,Greenwich,566,1057,800,900,1250,
2011_April,E09000012,Hackney,761,1448,1170,1387,1625,
2011_April,E09000013,Hammersmith and Fulham,590,1632,1387,1560,1820,
2011_April,E09000014,Haringey,562,1284,1049,1235,1430,
2011_April,E09000015,Harrow,408,1032,925,1000,1100,
2011_April,E09000016,Havering,381,841,750,825,900,
2011_April,E09000017,Hillingdon,725,980,875,950,1075,
2011_April,E09000018,Hounslow,852,1160,900,1000,1250,
2011_April,E09000019,Islington,892,1719,1408,1625,1961,
2011_April,E09000020,Kensington and Chelsea,695,2872,2167,2600,3250,
2011_April,E09000021,Kingston upon Thames,507,1136,995,1100,1250,
2011_April,E09000022,Lambeth,1080,1307,1096,1250,1450,
2011_April,E09000023,Lewisham,740,1010,875,950,1100,
2011_April,E09000024,Merton,711,1187,950,1100,1300,
2011_April,E09000025,Newham,410,1003,867,950,1105,
2011_April,E09000026,Redbridge,675,956,825,900,1050,
2011_April,E09000027,Richmond upon Thames,901,1346,1100,1300,1495,
2011_April,E09000028,Southwark,1073,1440,1100,1300,1690,
2011_April,E09000029,Sutton,551,876,800,850,925,
2011_April,E09000030,Tower Hamlets,1054,1537,1257,1473,1712,
2011_April,E09000031,Waltham Forest,578,957,850,932,1000,
2011_April,E09000032,Wandsworth,1400,1398,1170,1350,1600,
2011_April,E09000033,Westminster,1036,2541,1875,2383,2925,
2011_April,E12000007,LONDON,23118,1358,950,1195,1550,
2011_April,E13000001,Inner London,11411,1644,1170,1473,1907,
2011_April,E13000002,Outer London,11707,1079,875,997,1200,
2011_Oct,E09000001,City of London,39,2223,1842,2058,2492,
2011_Oct,E09000002,Barking and Dagenham,310,852,800,850,900,
2011_Oct,E09000003,Barnet,1242,1269,1050,1192,1387,
2011_Oct,E09000004,Bexley,312,815,750,800,850,
2011_Oct,E09000005,Brent,547,1381,1100,1343,1550,
2011_Oct,E09000006,Bromley,723,991,875,950,1100,
2011_Oct,E09000007,Camden,1051,2006,1647,1928,2210,
2011_Oct,E09000008,Croydon,558,918,850,925,950,
2011_Oct,E09000009,Ealing,792,1308,1100,1250,1447,
2011_Oct,E09000010,Enfield,552,1069,995,1050,1150,
2011_Oct,E09000011,Greenwich,478,1070,800,900,1200,
2011_Oct,E09000012,Hackney,566,1473,1148,1408,1712,
2011_Oct,E09000013,Hammersmith and Fulham,612,1664,1430,1625,1842,
2011_Oct,E09000014,Haringey,519,1266,1083,1235,1408,
2011_Oct,E09000015,Harrow,442,1076,950,1050,1170,
2011_Oct,E09000016,Havering,328,844,750,825,900,
2011_Oct,E09000017,Hillingdon,768,994,875,950,1100,
2011_Oct,E09000018,Hounslow,718,1255,950,1100,1473,
2011_Oct,E09000019,Islington,777,1779,1430,1712,2058,
2011_Oct,E09000020,Kensington and Chelsea,413,2731,2145,2578,3033,
2011_Oct,E09000021,Kingston upon Thames,221,1156,1025,1150,1250,
2011_Oct,E09000022,Lambeth,985,1391,1148,1300,1517,
2011_Oct,E09000023,Lewisham,783,1040,875,1000,1150,
2011_Oct,E09000024,Merton,730,1290,1100,1248,1400,
2011_Oct,E09000025,Newham,342,1015,867,950,1127,
2011_Oct,E09000026,Redbridge,559,973,849,925,1050,
2011_Oct,E09000027,Richmond upon Thames,826,1359,1127,1295,1495,
2011_Oct,E09000028,Southwark,1046,1414,1100,1300,1625,
2011_Oct,E09000029,Sutton,371,910,825,895,950,
2011_Oct,E09000030,Tower Hamlets,685,1604,1300,1517,1820,
2011_Oct,E09000031,Waltham Forest,605,981,897,950,1050,
2011_Oct,E09000032,Wandsworth,1359,1462,1200,1400,1625,
2011_Oct,E09000033,Westminster,1067,2577,1950,2383,2947,
2011_Oct,E12000007,LONDON,21326,1383,975,1200,1582,
2011_Oct,E13000001,Inner London,10244,1665,1200,1517,1950,
2011_Oct,E13000002,Outer London,11082,1121,900,1050,1250,
2012_April,E09000001,City of London,38,2316,1950,2156,2600,
2012_April,E09000002,Barking and Dagenham,255,855,800,850,900,
2012_April,E09000003,Barnet,760,1277,1062,1200,1365,
2012_April,E09000004,Bexley,258,846,775,825,895,
2012_April,E09000005,Brent,528,1386,1113,1343,1517,
2012_April,E09000006,Bromley,580,1026,900,975,1150,
2012_April,E09000007,Camden,947,2019,1625,1907,2275,
2012_April,E09000008,Croydon,439,950,875,938,1000,
2012_April,E09000009,Ealing,1029,1286,1100,1250,1400,
2012_April,E09000010,Enfield,382,1087,995,1050,1192,
2012_April,E09000011,Greenwich,402,1141,850,1000,1300,
2012_April,E09000012,Hackney,424,1578,1235,1517,1733,
2012_April,E09000013,Hammersmith and Fulham,586,1724,1473,1647,1950,
2012_April,E09000014,Haringey,367,1340,1100,1300,1517,
2012_April,E09000015,Harrow,438,1126,975,1088,1200,
2012_April,E09000016,Havering,293,858,750,850,949,
2012_April,E09000017,Hillingdon,682,1033,900,995,1150,
2012_April,E09000018,Hounslow,745,1214,975,1100,1350,
2012_April,E09000019,Islington,735,1747,1430,1668,1993,
2012_April,E09000020,Kensington and Chelsea,328,2854,2156,2622,3369,
2012_April,E09000021,Kingston upon Thames,208,1210,1100,1196,1295,
2012_April,E09000022,Lambeth,974,1468,1192,1365,1600,
2012_April,E09000023,Lewisham,755,1072,900,1040,1200,
2012_April,E09000024,Merton,626,1290,1100,1250,1400,
2012_April,E09000025,Newham,279,1030,898,997,1150,
2012_April,E09000026,Redbridge,500,983,850,950,1100,
2012_April,E09000027,Richmond upon Thames,611,1417,1150,1350,1525,
2012_April,E09000028,Southwark,1043,1488,1150,1350,1733,
2012_April,E09000029,Sutton,224,957,875,950,1000,
2012_April,E09000030,Tower Hamlets,535,1658,1343,1517,1842,
2012_April,E09000031,Waltham Forest,571,1010,900,1000,1100,
2012_April,E09000032,Wandsworth,1434,1527,1278,1473,1690,
2012_April,E09000033,Westminster,851,2644,1950,2427,3012,
2012_April,E12000007,LONDON,18827,1418,1000,1250,1603,
2012_April,E13000001,Inner London,9296,1699,1235,1517,1950,
2012_April,E13000002,Outer London,9531,1145,925,1100,1257,
2012_Oct,E09000001,City of London,52,2004,1701,2044,2297,
2012_Oct,E09000002,Barking and Dagenham,277,908,825,888,960,
2012_Oct,E09000003,Barnet,679,1257,1062,1200,1322,
2012_Oct,E09000004,Bexley,225,864,800,850,900,
2012_Oct,E09000005,Brent,505,1406,1195,1385,1538,
