Date,Area_Code,Area_Name,Count,Mean,Lower_quartile,Median,Upper_quartile
1355,E06000047,County Durham UA,2030,483,400,450,525
1350,E06000005,Darlington UA,1100,501,438,495,550
0724,E06000001,Hartlepool UA,300,465,400,475,525
0734,E06000002,Middlesbrough UA,370,515,450,500,565
2935,E06000057,Northumberland UA,970,510,425,485,561
0728,E06000003,Redcar and Cleveland UA,300,498,448,495,550
0738,E06000004,Stockton-on-Tees UA,490,552,450,525,600
NA,E11000007,Tyne and Wear (Met County),3470,613,485,575,695
4505,E08000037,Gateshead,730,586,475,550,650
4510,E08000021,Newcastle upon Tyne,850,767,624,743,850
4515,E08000022,North Tyneside,820,591,495,575,650
4520,E08000023,South Tyneside,400,503,450,495,550
4525,E08000024,Sunderland,670,536,475,525,595
NA,E12000002,NORTH WEST,28620,682,525,630,775
2372,E06000008,Blackburn with Darwen UA,740,515,450,500,575
2373,E06000009,Blackpool UA,650,549,500,542,585
0660,E06000049,Cheshire East UA,1960,790,607,725,895
0665,E06000050,Cheshire West and Chester UA,1230,737,617,725,850
0650,E06000006,Halton UA,500,561,477,550,625
0655,E06000007,Warrington UA,1090,660,575,650,725
NA,E10000006,Cumbria,2940,567,475,550,650
0905,E07000026,Allerdale,470,509,425,495,575
0910,E07000027,Barrow-in-Furness,450,560,480,550,615
0915,E07000028,Carlisle,790,515,450,495,565
0920,E07000029,Copeland,370,532,450,500,595
0925,E07000030,Eden,270,583,525,575,630
0930,E07000031,South Lakeland,590,702,625,695,750
NA,E11000001,Greater Manchester (Met County),10340,784,600,750,915
4205,E08000001,Bolton,830,623,525,600,695
4210,E08000002,Bury,480,694,600,695,780
4215,E08000003,Manchester,3050,979,825,950,1100
4220,E08000004,Oldham,370,624,550,600,695
4225,E08000005,Rochdale,550,571,495,550,650
4230,E08000006,Salford,1060,862,720,825,975
4235,E08000007,Stockport,1020,802,700,795,895
4240,E08000008,Tameside,620,662,585,650,725
4245,E08000009,Trafford,690,957,800,900,1100
