Date,New_date,Area_Code,Region,Count,Mean,Lower_quartile,Median,Upper_quartile
2011_April,30/04/2011,E12000001,NORTH EAST,10447,459,400,450,500
2011_April,30/04/2011,E12000002,NORTH WEST,32119,509,425,495,550
2011_April,30/04/2011,E12000003,YORKSHIRE AND THE HUMBER,20166,485,400,460,545
2011_April,30/04/2011,E12000004,EAST MIDLANDS,21208,490,435,480,525
2011_April,30/04/2011,E12000005,WEST MIDLANDS,15919,516,450,500,550
2011_April,30/04/2011,E12000006,EAST,20836,614,500,585,690
2011_April,30/04/2011,E12000007,LONDON,23118,1358,950,1195,1550
2011_April,30/04/2011,E12000008,SOUTH EAST,28897,749,625,715,850
2011_April,30/04/2011,E12000009,SOUTH WEST,27927,611,540,595,665
2011_April,30/04/2011,E92000001,ENGLAND,200637,660,475,550,700
2011_Oct,30/10/2011,E12000001,NORTH EAST,9539,453,395,450,495
2011_Oct,30/10/2011,E12000002,NORTH WEST,28922,507,425,495,550
2011_Oct,30/10/2011,E12000003,YORKSHIRE AND THE HUMBER,19309,493,420,475,550
2011_Oct,30/10/2011,E12000004,EAST MIDLANDS,19622,497,450,495,550
2011_Oct,30/10/2011,E12000005,WEST MIDLANDS,17092,523,450,500,575
2011_Oct,30/10/2011,E12000006,EAST,21119,620,520,595,695
2011_Oct,30/10/2011,E12000007,LONDON,21326,1383,975,1200,1582
2011_Oct,30/10/2011,E12000008,SOUTH EAST,29023,760,630,725,850
2011_Oct,30/10/2011,E12000009,SOUTH WEST,27164,619,550,595,675
2011_Oct,30/10/2011,E92000001,ENGLAND,193116,666,475,565,725
2012_April,30/04/2012,E12000001,NORTH EAST,9521,452,395,450,495
2012_April,30/04/2012,E12000002,NORTH WEST,28906,507,425,495,550
2012_April,30/04/2012,E12000003,YORKSHIRE AND THE HUMBER,19849,490,420,475,550
2012_April,30/04/2012,E12000004,EAST MIDLANDS,18633,503,450,495,550
2012_April,30/04/2012,E12000005,WEST MIDLANDS,15323,527,450,520,575
2012_April,30/04/2012,E12000006,EAST,21793,626,525,595,695
2012_April,30/04/2012,E12000007,LONDON,18827,1418,1000,1250,1603
2012_April,30/04/2012,E12000008,SOUTH EAST,28619,767,650,725,850
2012_April,30/04/2012,E12000009,SOUTH WEST,27437,623,550,600,675
2012_April,30/04/2012,E92000001,ENGLAND,188908,664,475,570,715
2012_Oct,30/10/2012,E12000001,NORTH EAST,9426,452,395,450,495
2012_Oct,30/10/2012,E12000002,NORTH WEST,28172,510,425,495,550
2012_Oct,30/10/2012,E12000003,YORKSHIRE AND THE HUMBER,20770,493,425,475,550
2012_Oct,30/10/2012,E12000004,EAST MIDLANDS,18229,507,450,495,550
2012_Oct,30/10/2012,E12000005,WEST MIDLANDS,14111,533,450,525,585
2012_Oct,30/10/2012,E12000006,EAST,18053,638,525,595,700
2012_Oct,30/10/2012,E12000007,LONDON,19614,1495,1075,1343,1712
2012_Oct,30/10/2012,E12000008,SOUTH EAST,28124,780,650,750,870
2012_Oct,30/10/2012,E12000009,SOUTH WEST,25989,626,550,600,685
2012_Oct,30/10/2012,E92000001,ENGLAND,182488,683,475,575,725
2013_April,30/04/2013,E12000001,NORTH EAST,9326,454,399,450,500
2013_April,30/04/2013,E12000002,NORTH WEST,28047,509,425,495,550
2013_April,30/04/2013,E12000003,YORKSHIRE AND THE HUMBER,19841,495,425,475,550
2013_April,30/04/2013,E12000004,EAST MIDLANDS,18464,507,450,495,550
2013_April,30/04/2013,E12000005,WEST MIDLANDS,14704,533,450,525,585
2013_April,30/04/2013,E12000006,EAST,18078,638,525,600,720
2013_April,30/04/2013,E12000007,LONDON,19336,1521,1100,1387,1733
2013_April,30/04/2013,E12000008,SOUTH EAST,29086,789,650,750,875
2013_April,30/04/2013,E12000009,SOUTH WEST,26504,635,550,600,695
2013_April,30/04/2013,E92000001,ENGLAND,183386,689,475,575,750
2013_Oct,30/10/2013,E12000001,NORTH EAST,10728,456,400,450,500
2013_Oct,30/10/2013,E12000002,NORTH WEST,28761,510,425,495,550
2013_Oct,30/10/2013,E12000003,YORKSHIRE AND THE HUMBER,20112,499,425,475,550
2013_Oct,30/10/2013,E12000004,EAST MIDLANDS,18986,513,450,499,550
2013_Oct,30/10/2013,E12000005,WEST MIDLANDS,15619,538,460,525,595
2013_Oct,30/10/2013,E12000006,EAST,19846,649,525,600,725
2013_Oct,30/10/2013,E12000007,LONDON,17547,1480,1100,1375,1699
2013_Oct,30/10/2013,E12000008,SOUTH EAST,28853,796,650,750,895
